internalField   nonuniform List<vector> 
106488
(
(0.766625 -0.0100183 -0.007992)
(0.784308 -0.00695815 -0.00530523)
(0.80281 -0.00512134 -0.00323027)
(0.814722 -0.00383769 -0.00205392)
(0.822833 -0.00299439 -0.00136585)
(0.828664 -0.00241294 -0.000937515)
(0.832963 -0.00199576 -0.00066248)
(0.836214 -0.00168769 -0.00048058)
(0.838731 -0.00145382 -0.00035753)
(0.840758 -0.00126768 -0.000271409)
(0.84247 -0.00111156 -0.000208413)
(0.843949 -0.000977738 -0.000161249)
(0.845233 -0.000862426 -0.000125643)
(0.846351 -0.00076251 -9.85563e-05)
(0.847329 -0.000675498 -7.7804e-05)
(0.848187 -0.000599387 -6.17942e-05)
(0.848941 -0.000532552 -4.9361e-05)
(0.849606 -0.000473672 -3.96435e-05)
(0.850193 -0.000421656 -3.20002e-05)
(0.850712 -0.000375596 -2.59496e-05)
(0.851172 -0.000334734 -2.11289e-05)
(0.85158 -0.000298428 -1.72632e-05)
(0.851942 -0.000266133 -1.41434e-05)
(0.852263 -0.000237377 -1.16094e-05)
(0.852549 -0.000211755 -9.53859e-06)
(0.852803 -0.000188911 -7.83622e-06)
(0.853029 -0.000168534 -6.42894e-06)
(0.853229 -0.000150352 -5.25932e-06)
(0.853408 -0.000134124 -4.28198e-06)
(0.853567 -0.000119639 -3.46094e-06)
(0.853709 -0.000106709 -2.76795e-06)
(0.853834 -9.51643e-05 -2.17487e-06)
(0.853946 -8.48619e-05 -1.66687e-06)
(0.854046 -7.56699e-05 -1.22528e-06)
(0.854134 -6.74705e-05 -8.36347e-07)
(0.854213 -6.01632e-05 -4.85824e-07)
(0.854283 -5.36602e-05 -1.61581e-07)
(0.854345 -4.78861e-05 1.49183e-07)
(0.8544 -4.27759e-05 4.58346e-07)
(0.854448 -3.8271e-05 7.78659e-07)
(0.854491 -3.43253e-05 1.12493e-06)
(0.85453 -3.09018e-05 1.51509e-06)
(0.854563 -2.79731e-05 1.96781e-06)
(0.854593 -2.55231e-05 2.50662e-06)
(0.854619 -2.35442e-05 3.16146e-06)
(0.854642 -2.20406e-05 3.96781e-06)
(0.854662 -2.10359e-05 4.96864e-06)
(0.85468 -2.05685e-05 6.21975e-06)
(0.854696 -2.06997e-05 7.78826e-06)
(0.85471 -2.15139e-05 9.75824e-06)
(0.854723 -2.31392e-05 1.22329e-05)
(0.854734 -2.57562e-05 1.53347e-05)
(0.854745 -2.96149e-05 1.92045e-05)
(0.854756 -3.50615e-05 2.39963e-05)
(0.854769 -4.25832e-05 2.98582e-05)
(0.854784 -5.28709e-05 3.68881e-05)
(0.854805 -6.69044e-05 4.50465e-05)
(0.854834 -8.60797e-05 5.39867e-05)
(0.854877 -0.0001124 6.27272e-05)
(0.854946 -0.000148933 6.91191e-05)
(0.855064 -0.000204309 6.87063e-05)
(0.855289 -0.000301304 4.50388e-05)
(0.855807 -0.000491218 -6.46273e-05)
(0.857447 -0.000864279 -0.000486205)
(0.857636 -0.00174349 -0.00152158)
(0.886764 -0.00541569 -0.00849027)
(0.851982 -0.0146012 -0.0318557)
(0.890238 -0.0255121 -0.0230625)
(0.995975 -0.0164604 -0.0107745)
(1.01754 -0.0109644 -0.00729766)
(1.03935 -0.00806145 -0.00468396)
(1.05378 -0.00605139 -0.00314162)
(1.06371 -0.0047089 -0.00220981)
(1.07091 -0.00378681 -0.00161036)
(1.07627 -0.00312818 -0.00121122)
(1.08034 -0.00264349 -0.000937135)
(1.0835 -0.00227678 -0.000744279)
(1.08606 -0.001986 -0.000603459)
(1.08823 -0.00174284 -0.000495496)
(1.09011 -0.00153477 -0.000410406)
(1.09175 -0.00135564 -0.000342565)
(1.09317 -0.00120047 -0.000287919)
