internalField   nonuniform List<vector> 
106488
(
(0.031208 -0.000592858 -0.000994952)
(0.0385961 -0.000141354 -0.000300649)
(0.0393342 -0.000151936 -0.000184579)
(0.0404401 -0.000111932 -8.16089e-05)
(0.0411108 -8.29754e-05 -3.14889e-05)
(0.041555 -6.51099e-05 -6.45319e-06)
(0.0418693 -5.24314e-05 6.6508e-06)
(0.0420976 -4.31862e-05 1.33156e-05)
(0.0422682 -3.62968e-05 1.64986e-05)
(0.0423992 -3.10504e-05 1.77469e-05)
(0.0425039 -2.69169e-05 1.78867e-05)
(0.0425917 -2.35006e-05 1.7364e-05)
(0.0426671 -2.05928e-05 1.64529e-05)
(0.0427322 -1.80922e-05 1.53385e-05)
(0.0427887 -1.59288e-05 1.4138e-05)
(0.0428379 -1.40496e-05 1.29258e-05)
(0.0428809 -1.24116e-05 1.17477e-05)
(0.0429187 -1.09798e-05 1.06305e-05)
(0.0429519 -9.7251e-06 9.58832e-06)
(0.0429812 -8.62341e-06 8.62724e-06)
(0.043007 -7.65376e-06 7.74911e-06)
(0.0430299 -6.79879e-06 6.95197e-06)
(0.0430501 -6.04369e-06 6.23167e-06)
(0.043068 -5.37574e-06 5.58317e-06)
(0.043084 -4.78429e-06 5.0009e-06)
(0.0430981 -4.26017e-06 4.47896e-06)
(0.0431107 -3.7953e-06 4.01162e-06)
(0.0431219 -3.38254e-06 3.59355e-06)
(0.0431319 -3.01581e-06 3.21973e-06)
(0.0431407 -2.68984e-06 2.88557e-06)
(0.0431486 -2.39998e-06 2.58684e-06)
(0.0431557 -2.14207e-06 2.31975e-06)
(0.0431619 -1.91247e-06 2.08083e-06)
(0.0431675 -1.70793e-06 1.86704e-06)
(0.0431725 -1.52556e-06 1.67568e-06)
(0.0431769 -1.36283e-06 1.50428e-06)
(0.0431809 -1.21754e-06 1.35062e-06)
(0.0431844 -1.08773e-06 1.21282e-06)
(0.0431875 -9.71671e-07 1.0893e-06)
(0.0431903 -8.67918e-07 9.78597e-07)
(0.0431928 -7.7529e-07 8.79291e-07)
(0.0431951 -6.92705e-07 7.90115e-07)
(0.043197 -6.19082e-07 7.10003e-07)
(0.0431988 -5.53412e-07 6.37992e-07)
(0.0432004 -4.94757e-07 5.73162e-07)
(0.0432018 -4.42266e-07 5.1475e-07)
(0.0432031 -3.95155e-07 4.62202e-07)
(0.0432042 -3.52823e-07 4.15058e-07)
(0.0432052 -3.14878e-07 3.72803e-07)
(0.0432061 -2.81056e-07 3.3489e-07)
(0.0432069 -2.51019e-07 3.00859e-07)
(0.0432076 -2.24281e-07 2.70344e-07)
(0.0432082 -2.00309e-07 2.42979e-07)
(0.0432088 -1.78699e-07 2.18342e-07)
(0.0432093 -1.59247e-07 1.96037e-07)
(0.0432097 -1.41849e-07 1.75809e-07)
(0.0432101 -1.2637e-07 1.57564e-07)
(0.0432105 -1.12626e-07 1.41245e-07)
(0.0432108 -1.00418e-07 1.26711e-07)
(0.0432111 -8.9641e-08 1.13626e-07)
(0.0432113 -8.03067e-08 1.01404e-07)
(0.0432116 -7.12843e-08 8.90134e-08)
(0.0432118 -6.20461e-08 7.6274e-08)
(0.043212 -5.28662e-08 6.3511e-08)
(0.0432123 -4.39374e-08 5.07118e-08)
(0.0432125 -3.84801e-08 3.28628e-08)
(0.0432127 -2.41056e-08 2.64385e-08)
(0.0432134 -6.64549e-08 -7.06069e-08)
(0.0845174 -0.00202775 -0.00247176)
(0.0994418 -0.000781297 -0.000955451)
(0.101737 -0.000627087 -0.000614977)
(0.104343 -0.000461721 -0.000342765)
(0.105978 -0.000344305 -0.000196537)
(0.107078 -0.000269236 -0.000115315)
(0.107861 -0.00021693 -6.73881e-05)
(0.108435 -0.000179168 -3.84802e-05)
(0.108865 -0.000151189 -2.0672e-05)
(0.109198 -0.000129917 -9.58892e-06)
(0.109464 -0.000113018 -2.59991e-06)
(0.109688 -9.88951e-05 1.86172e-06)
(0.109881 -8.68163e-05 4.65485e-06)
(0.110049 -7.6419e-05 6.31059e-06)
(0.110194 -6.74202e-05 7.19416e-06)
(0.110321 -5.95967e-05 7.55852e-06)
(0.110432 -5.2768e-05 7.57927e-06)
(0.11053 -4.67865e-05 7.37842e-06)
(0.110616 -4.15314e-05 7.04046e-06)
(0.110692 -3.69039e-05 6.62338e-06)
(0.110759 -3.28197e-05 6.16729e-06)
(0.110818 -2.9208e-05 5.69926e-06)
(0.110871 -2.60088e-05 5.23705e-06)
(0.110918 -2.31715e-05 4.79196e-06)
(0.110959 -2.06526e-05 4.3708e-06)
(0.110996 -1.84147e-05 3.97723e-06)
(0.111029 -1.64248e-05 3.6127e-06)
(0.111058 -1.46542e-05 3.27735e-06)
(0.111084 -1.30781e-05 2.97044e-06)
(0.111107 -1.16749e-05 2.69064e-06)
(0.111128 -1.04251e-05 2.43615e-06)
(0.111146 -9.3115e-06 2.20508e-06)
(0.111163 -8.31854e-06 1.99556e-06)
(0.111178 -7.43269e-06 1.80578e-06)
(0.111191 -6.64194e-06 1.63397e-06)
(0.111202 -5.93557e-06 1.47838e-06)
(0.111213 -5.30414e-06 1.3375e-06)
(0.111222 -4.73949e-06 1.21003e-06)
(0.11123 -4.23467e-06 1.09474e-06)
(0.111237 -3.78373e-06 9.90461e-07)
(0.111244 -3.38142e-06 8.9609e-07)
(0.11125 -3.02274e-06 8.10648e-07)
(0.111255 -2.70282e-06 7.33255e-07)
(0.11126 -2.41697e-06 6.63115e-07)
(0.111264 -2.16104e-06 5.99566e-07)
(0.111268 -1.93149e-06 5.42052e-07)
(0.111271 -1.72555e-06 4.90066e-07)
(0.111274 -1.54104e-06 4.43069e-07)
(0.111277 -1.3763e-06 4.00556e-07)
(0.111279 -1.2297e-06 3.62122e-07)
(0.111281 -1.09934e-06 3.2747e-07)
(0.111283 -9.82956e-07 2.96298e-07)
(0.111285 -8.78341e-07 2.68236e-07)
(0.111286 -7.83934e-07 2.42869e-07)
(0.111287 -6.9891e-07 2.19824e-07)
(0.111289 -6.22839e-07 1.98837e-07)
(0.11129 -5.55176e-07 1.79727e-07)
(0.111291 -4.95048e-07 1.62336e-07)
(0.111291 -4.41325e-07 1.46491e-07)
(0.111292 -3.93384e-07 1.31891e-07)
(0.111293 -3.5068e-07 1.17902e-07)
(0.111293 -3.08916e-07 1.03241e-07)
